paket,dalamNegeri,jenisPengadaan,metode,lembaga,satker,lokasi,id,pagu,pemilihanDate,sumberDana,isUMKM,volumePekerjaan,uraianPekerjaan,spesifikasiPekerjaan,ownerType,potensiPemborosan,tags.isInappropriate,tags.inappropriateReason,jumlahTagAktif,_source_part
Helpdesk Aplikasi Manajemen Pemerintahan II,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,DINAS KOMUNIKASI DAN INFORMATIKA,"Banten, Tangerang (Kota)",62568701,83649600.0,December 2025,APBD,True,12 OB,menjawab keluhan pegawai Pemerintah Kota Tangerang yang berhubungan dengan aplikasi Tangerang AYO - menjawab keluhan pegawai Pemerintah Kota Tangerang yang berhubungan dengan aplikasi e-Office - memverfikasi akun masyarakat yang melakukan registrasi aplikasi Tangerang LIVE,"IT Support / Helpdesk / Operator Komputer, Helpdesk, yaitu Minimal SMA atau sederajat dengan kualifikasi: - Pria/Wanita usia maksimal 30 tahun - Pendidikan minimal SMA atau sederajat - Menguasai aplikasi perkantoran - Inovatif, Kreatif, bersedia menerima tantangan baru - Memiliki keahlian desain terkini - Dapat mengoperasikan Komputer - Memiliki perangkat kerja untuk helpdesk aplikasi android; - Bersedia bekerja di lokasi Dinas Komunikasi dan Informatika selama kontrak.",kabkota,0.0,low,,0,1
IT Support Aplikasi Layanan Publik I,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,DINAS KOMUNIKASI DAN INFORMATIKA,"Banten, Tangerang (Kota)",62569143,83649600.0,December 2025,APBD,True,12 OB,Melakukan pendampingan implementasi aplikasi eGovernment di SKPD sesuai dengan penugasan - Melakukan sosialiasasi aplikasi eGovernment di SKPD sesuai dengan penugasan - Melakukan monitoring dan pengecekan berkala aplikasi layanan publik,"IT Support / Helpdesk / Operator Komputer, IT Support, yaitu Minimal SMA atau sederajat dengan kualifikasi: - Memahami konsep pemrograman berbasiskan obyek (OOP); - Mengetahui konsep 3rd party libraries; atau - Mengetahui framework Code Igniter (CI); - Dapat mengoperasikan Komputer; - Menguasai aplikasi perkantoran (ms office atau sejenis); - Memiliki Perangkat Kerja dengan platform Android; - Bersedia bekerja di lokasi Dinas Komunikasi dan Informatika selama kontrak.",kabkota,0.0,low,,0,1
IT Support Aplikasi Manajemen Pemerintahan II,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,DINAS KOMUNIKASI DAN INFORMATIKA,"Banten, Tangerang (Kota)",62569831,83649600.0,December 2025,APBD,True,12 OB,"Mendeteksi dan melacak bug (debugging) - Melakukan perbaikan bug untuk aplikasi yang dikembangkan - Melakukan perbaikan pada kode berdasarkan hasil pengujian - Membantu dalam pemeliharaan, pembaruan, peningkatan, dan pada aplikasi eksisting","IT Support / Helpdesk / Operator Komputer, IT Support, yaitu Minimal SMA atau sederajat dengan kualifikasi: - Memahami konsep pemrograman berbasiskan obyek (OOP); - Mengetahui konsep 3rd party libraries; atau - Mengetahui framework Code Igniter (CI); - Dapat mengoperasikan Komputer; - Menguasai aplikasi perkantoran (ms office atau sejenis); - Memiliki Perangkat Kerja dengan platform Android; - Bersedia bekerja di lokasi Dinas Komunikasi dan Informatika selama kontrak.",kabkota,0.0,low,,0,1
APLIKASI LISENSI PREMIUM KEG PENGELOLAAN LAYANAN INFORMASI DAN HUMAS,True,Barang,E-Purchasing,Kementerian Pendidikan Dasar dan Menengah,BALAI BAHASA SUMATERA UTARA,"Sumatera Utara, Medan (Kota)",62226256,2500000.0,February 2026,APBN,True,1 PAKET,APLIKASI LISENSI PREMIUM KEG PENGELOLAAN LAYANAN INFORMASI DAN HUMAS,-,central,0.0,low,,0,1
Desain Aplikasi Layanan Publik Tahap 1,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,DINAS KOMUNIKASI DAN INFORMATIKA,"Banten, Tangerang (Kota)",62348030,74074500.0,December 2025,APBD,True,6 OB,"Pembuatan skenario video tutorial sesuai dengan buku manual ataupun alur bisnis proses yang dialami oleh pengguna aplikasi - pemilihan ilustrasi sebagai pendukung ditujukan untuk mempermudah pengguna dalam memahami video tutorial yang akan dibuat. Ilustrasi pendukung digunakan sebagai bahan uji terhadap draft skenario yang akan dibuat sebelum diproduksi - proses perekaman dengan menggunakan aplikasi yang tersedia guna menjelaskan proses yang terjadi diaplikasi yang dibuat video tutorialnya - melakukan proses editing atau penyuntingan Setelah perekaman audio/visual ke komputer, untuk memilah bagian-bagian yang dianggap tidak perlu dapat dibuang. Dan kemudian dilakukan penambahan animasi, efek suara,atau unsur lain - melakukan proses Rendering setelah proses edit, kemudian file ditransfer menjadi format tertentu sesuai kebutuhan - desain Infografis aplikasi – aplikasi yang dikembangkan, seperti aplikasi baru maupun penambahan modul di aplikasi eksisting.","DesainGrafis/Fotographer/Editor Video/Script Writer CAD/CAM Operator, yaitu S1Teknologi Informasi/Sistem Informasi/Informatika/Manajemen Informatika/Komunikasi Visual dengan kualifikasi: - Pria/Wanita usia maksimal 40 tahun - Pendidikan minimal S1 Teknologi Informasi/Sistem Informasi/Informatika/Manajemen Informatika/Komunikasi Visual atau sejenis - Menguasai Adobe Premier, Adobe Ilustratotr, Adobe Photoshop, Adobe After Effect - Inovatif, Kreatif, bersedia menerima tantangan baru - Menguasai desain grafis, video editing dan motion graphic - Memiliki keahlian desain terkini - Dapat mengoperasikan Komputer - Diutamakan memiliki Sertifikat Nasional (BNSP) bidang keahlian Desain Grafis - Memiliki perangkat kerja untuk pembuatan video tutorial - Bersedia bekerja di lokasi Dinas Komunikasi dan Informatika selama kontrak.",kabkota,0.0,low,,0,1
Pengadaan Jasa Tenaga Software Development Direktorat Jejaring Pendidikan Tahun 2026,True,Jasa Lainnya,Pengadaan Langsung,Komisi Pemberantasan Korupsi,KOMISI PEMBERANTASAN KORUPSI KPK,"DKI Jakarta, Jakarta Selatan (Kota)",61573201,154800000.0,November 2025,APBN - RUPIAH MURNI (A),True,1 Paket,Mengadakan Jasa Tenaga Software Development Direktorat Jejaring Pendidikan Tahun 2026 dengan spesifikasi teknis/KAK yang akan disampaikan pada proses pemilihan,Mengadakan Jasa Tenaga Software Development Direktorat Jejaring Pendidikan Tahun 2026 dengan spesifikasi teknis/KAK yang akan disampaikan pada proses pemilihan,central,0.0,low,,0,1
Pengadaaan Lisensi Aplikasi Video Tele Conference (Zoom Meeting) Kegiatan Pelaksanaan Diskusi Strategi Kebijakan pada Kantor Wilayah Kementerian Hukum Lampung Tahun Anggaran 2026,True,Barang,Pengadaan Langsung,Kementerian Hukum,12 KANWIL LAMPUNG BSK,"Lampung, Bandar Lampung (Kota)",63359094,1500000.0,January 2026,APBN - RUPIAH MURNI (A),True,1 Paket,"1. Biaya pembelian Lisensi aplikasi video teleconference (zoom meeting) ( 1, BLN, @ 1500000 );","1. Biaya pembelian Lisensi aplikasi video teleconference (zoom meeting) ( 1, BLN);",central,0.0,low,,0,1
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,Pengadaan Langsung,Kab. Kendal,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,"Jawa Tengah, Kendal (Kab.)",62236439,40000000.0,January 2026,APBD,True,1 Paket,Jasa Pemeliharaan server;,"Pemeliharaan web server, mail server, dan aplikasi server;",kabkota,0.0,low,,0,1
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,Pengadaan Langsung,Kab. Kendal,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,"Jawa Tengah, Kendal (Kab.)",62236438,25000000.0,January 2026,APBD,True,1 Paket,Jasa Konversi Aplikasi/Sistem Informasi;,-;,kabkota,0.0,low,,0,1
Belanja Sewa Aset Tidak Berwujud-Lisensi dan Franchise - Lisensi Aplikasi - Koordinasi dan Fasilitasi Promosi Literasi SPBE dan/atau kolaborasi penyelenggaraan SPBE,True,Jasa Lainnya,E-Purchasing,Kab. Sukabumi,"Dinas Komunikasi, Informatika dan Persandian","Jawa Barat, Sukabumi (Kab.)",63431207,26300000.0,January 2026,APBD,True,1 Paket,Beban Sewa Aset Tidak Berwujud-Lisensi dan Franchise; Beban Sewa Aset Tidak Berwujud-Lisensi dan Franchise; Beban Sewa Aset Tidak Berwujud-Lisensi dan Franchise;,Kredit Tiktok Ads Peningkatan Literasi Digital; Belanja Kredit Facebook Ads Peningkatan Literasi Digital; Lisensi Canva Team (6 user);,kabkota,0.0,med,,1,1
